"customer_message","support_response"
"Where do I start a return?","Hi! Our return window is 7 days from delivery. To return your bluetooth speaker:
1. Visit 'My Orders'
2. Tap 'Return' on the item
3. Select a pickup time
There's no return fee. — Team NovaCart 💙"
"It's been 10 days, can I still return this wall clock?","Hi! Unfortunately returns are only accepted within 7 days of delivery, so I can't process this one. If there's a quality or warranty issue, please share details and I'll look into options. — Team NovaCart 💙"
"How can I get free shipping?","Hi! Orders over ₹499 ship free. Add a little more to cross ₹499 and your delivery is on us! — Team NovaCart 💙"
"I forgot my password.","Hi! Let's get you back in:
1. Tap 'Forgot Password' on the login screen
2. Enter your registered email or phone
3. Follow the reset link/OTP we send
If the OTP doesn't arrive in a minute, request it again or reply here. — Team NovaCart 💙"
"How do I update my email?","Hi! Let's get you back in:
1. Tap 'Forgot Password' on the login screen
2. Enter your registered email or phone
3. Follow the reset link/OTP we send
If the OTP doesn't arrive in a minute, request it again or reply here. — Team NovaCart 💙"
"I want to cancel order CK872246.","Hi! You can cancel before the order is shipped:
1. Open 'My Orders'
2. Select the order
3. Tap 'Cancel Order'
If it's already shipped, you can refuse delivery or return it within 7 days. — Team NovaCart 💙"
"I don't have a card, can I pay cash on delivery?","Hi! Cash on Delivery is available for orders up to ₹50,000. Just choose 'Cash on Delivery' at checkout — note a ₹40 handling fee is added. — Team NovaCart 💙"
"I'd like to pay on delivery, is that possible?","Hi! Cash on Delivery is available for orders up to ₹50,000. Just choose 'Cash on Delivery' at checkout — note a ₹40 handling fee is added. — Team NovaCart 💙"
"It's been 10 days, can I still return this winter jacket?","Hi! Unfortunately returns are only accepted within 7 days of delivery, so I can't process this one. If there's a quality or warranty issue, please share details and I'll look into options. — Team NovaCart 💙"
"Can I cancel my power bank before it ships?","Hi! To cancel, go to 'My Orders', pick the order, and tap 'Cancel Order' — possible until it ships. Already shipped? You can return it within 7 days of delivery. — Team NovaCart 💙"
"It's been 10 days, can I still return this bluetooth speaker?","Hi! I'm sorry, but our return window is 7 days from delivery, so this order is outside it. If the item is defective or under warranty, I'd be glad to help with that instead. — Team NovaCart 💙"
"How long does delivery take?","Hi! Most orders arrive in 3-5 business days. Check 'My Orders' for the precise estimated delivery date for your phone case. — Team NovaCart 💙"
"I returned my winter jacket, where's my money?","Hi! Refunds typically reach your original payment method in 5-7 business days after the return is picked up and verified. — Team NovaCart 💙"
"Is delivery free on all orders?","Hi! Shipping is free on all orders over ₹499. For orders below that, a small delivery fee applies at checkout. — Team NovaCart 💙"
"I changed my mind, how do I send the bedsheet set back?","Hi! Our return window is 7 days from delivery. To return your table lamp:
1. Visit 'My Orders'
2. Tap 'Return' on the item
3. Select a pickup time
There's no return fee. — Team NovaCart 💙"
"Can I get a refund 20 days after delivery?","Hi! I'm sorry, but our return window is 7 days from delivery, so this order is outside it. If the item is defective or under warranty, I'd be glad to help with that instead. — Team NovaCart 💙"
"Need to change where my running shoes is delivered.","Hi! You can update the address before the order ships:
1. Go to 'My Orders'
2. Select the order and tap 'Edit Address'
If it's already shipped, reply here and I'll try to reroute it for you. — Team NovaCart 💙"
"I want to return my order after 15 days.","Hi! I'm sorry, but our return window is 7 days from delivery, so this order is outside it. If the item is defective or under warranty, I'd be glad to help with that instead. — Team NovaCart 💙"
"I want COD for an order worth ₹80,000.","Hi! Unfortunately returns are only accepted within 7 days of delivery, so I can't process this one. If there's a quality or warranty issue, please share details and I'll look into options. — Team NovaCart 💙"
"My bluetooth speaker arrived broken.","Hi! So sorry about the damaged wall clock. Please open 'My Orders', tap 'Report an Issue', and add a photo — we'll pick it up free of charge and send a replacement right away. — Team NovaCart 💙"
"Can I exchange my winter jacket for a different size?","Hi! Exchanges for size or color are easy within 7 days of delivery:
1. Open 'My Orders'
2. Tap 'Exchange' on the item
3. Pick your new size/color
We'll swap it during a free pickup. — Team NovaCart 💙"
"Need to change where my wristwatch is delivered.","Hi! You can update the address before the order ships:
1. Go to 'My Orders'
2. Select the order and tap 'Edit Address'
If it's already shipped, reply here and I'll try to reroute it for you. — Team NovaCart 💙"
"Order status please for CK391704.","Hi! You can track your order anytime:
1. Open 'My Orders'
2. Tap the order
3. View live tracking and the expected delivery date
If anything looks off, just reply here. — Team NovaCart 💙"
"Can I return this item?","Hi! Our return window is 7 days from delivery. To return your wristwatch:
1. Visit 'My Orders'
2. Tap 'Return' on the item
3. Select a pickup time
There's no return fee. — Team NovaCart 💙"
"Refund status for order CK832052?","Hi! Refunds typically reach your original payment method in 5-7 business days after the return is picked up and verified. — Team NovaCart 💙"
"Hello","Hi! Welcome to NovaCart support. How can I help you today — orders, returns, payments, or something else? — Team NovaCart 💙"
"Received a faulty headphones, please help.","Hi! I'm really sorry your item arrived damaged. Let's fix this quickly:
1. Go to 'My Orders' and select the item
2. Tap 'Report an Issue' and upload a photo
3. We'll arrange a free pickup and a replacement or refund
I'm flagging this to our resolution team now. — Team NovaCart 💙"
"How much is delivery charge?","Hi! Shipping is free on all orders over ₹499. For orders below that, a small delivery fee applies at checkout. — Team NovaCart 💙"
"The item is defective, what do I do?","Hi! So sorry about the damaged saree. Please open 'My Orders', tap 'Report an Issue', and add a photo — we'll pick it up free of charge and send a replacement right away. — Team NovaCart 💙"
"How do I track my water bottle?","Hi! To check where your package is, go to 'My Orders' and tap the order for live tracking and the estimated delivery date. — Team NovaCart 💙"
"Order CK543143 came with a cracked item.","Hi! I'm really sorry your item arrived damaged. Let's fix this quickly:
1. Go to 'My Orders' and select the item
2. Tap 'Report an Issue' and upload a photo
3. We'll arrange a free pickup and a replacement or refund
I'm flagging this to our resolution team now. — Team NovaCart 💙"
"Need to change where my power bank is delivered.","Hi! You can update the address before the order ships:
1. Go to 'My Orders'
2. Select the order and tap 'Edit Address'
If it's already shipped, reply here and I'll try to reroute it for you. — Team NovaCart 💙"
"I returned my cotton kurta, where's my money?","Hi! Once we receive your returned item, refunds are processed to your original payment method within 5-7 business days. You'll get an email when it's done. — Team NovaCart 💙"
"The item is defective, what do I do?","Hi! So sorry about the damaged backpack. Please open 'My Orders', tap 'Report an Issue', and add a photo — we'll pick it up free of charge and send a replacement right away. — Team NovaCart 💙"
"I changed my mind, how do I send the water bottle back?","Hi! You can return most items within 7 days of delivery. Just open 'My Orders', pick the item, and select 'Return' — we'll schedule a free pickup. — Team NovaCart 💙"
"Is same-day delivery available?","Hi! Most orders arrive in 3-5 business days. Check 'My Orders' for the precise estimated delivery date for your wristwatch. — Team NovaCart 💙"
"I entered the wrong address for order CK388389.","Hi! You can update the address before the order ships:
1. Go to 'My Orders'
2. Select the order and tap 'Edit Address'
If it's already shipped, reply here and I'll try to reroute it for you. — Team NovaCart 💙"
"I want to return my cotton kurta.","Hi! Returns are easy at NovaCart. You have 7 days from delivery to return an item. To start:
1. Go to 'My Orders'
2. Select the item and tap 'Return'
3. Choose a reason and a pickup slot
We'll arrange a free pickup. — Team NovaCart 💙"
"Order status please for CK770487.","Hi! Let's find your order. Head to 'My Orders' → select the item → you'll see real-time tracking. If it's delayed beyond the estimate, I'll be glad to escalate it. — Team NovaCart 💙"
"I want COD for an order worth ₹80,000.","Hi! I'm sorry, but our return window is 7 days from delivery, so this order is outside it. If the item is defective or under warranty, I'd be glad to help with that instead. — Team NovaCart 💙"
"When will my sneakers be delivered?","Hi! Most orders arrive in 3-5 business days. Check 'My Orders' for the precise estimated delivery date for your headphones. — Team NovaCart 💙"
"Is there a minimum for free delivery?","Hi! Shipping is free on all orders over ₹499. For orders below that, a small delivery fee applies at checkout. — Team NovaCart 💙"
"Can I do COD for an order worth ₹75000?","Hi! You can pay cash on delivery on any order up to ₹50,000. A ₹40 handling fee is added to COD orders. — Team NovaCart 💙"
"Is COD available?","Hi! You can pay cash on delivery on any order up to ₹50,000. A ₹40 handling fee is added to COD orders. — Team NovaCart 💙"
"Can I cancel my bedsheet set before it ships?","Hi! To cancel, go to 'My Orders', pick the order, and tap 'Cancel Order' — possible until it ships. Already shipped? You can return it within 7 days of delivery. — Team NovaCart 💙"
"I want to return my water bottle.","Hi! You can return most items within 7 days of delivery. Just open 'My Orders', pick the item, and select 'Return' — we'll schedule a free pickup. — Team NovaCart 💙"
"Can I pay with UPI?","Hi! You can pay via UPI, cards, net banking, wallets, or COD. All options appear at the payment step — choose whatever's easiest for you. — Team NovaCart 💙"
"Can I exchange my sneakers for a different size?","Hi! Exchanges for size or color are easy within 7 days of delivery:
1. Open 'My Orders'
2. Tap 'Exchange' on the item
3. Pick your new size/color
We'll swap it during a free pickup. — Team NovaCart 💙"
"Need to change where my winter jacket is delivered.","Hi! You can update the address before the order ships:
1. Go to 'My Orders'
2. Select the order and tap 'Edit Address'
If it's already shipped, reply here and I'll try to reroute it for you. — Team NovaCart 💙"
"Need to change where my wireless earbuds is delivered.","Hi! You can update the address before the order ships:
1. Go to 'My Orders'
2. Select the order and tap 'Edit Address'
If it's already shipped, reply here and I'll try to reroute it for you. — Team NovaCart 💙"
"When is shipping free?","Hi! Shipping is free on all orders over ₹499. For orders below that, a small delivery fee applies at checkout. — Team NovaCart 💙"
"Is there any fee for cash on delivery?","Hi! Absolutely — we offer COD up to ₹50,000 per order. A ₹40 handling fee applies. You'll find the option at the payment step. — Team NovaCart 💙"
"When will my order reach Hyderabad?","Hi! Let's find your order. Head to 'My Orders' → select the item → you'll see real-time tracking. If it's delayed beyond the estimate, I'll be glad to escalate it. — Team NovaCart 💙"
"My package showed up damaged.","Hi! So sorry about the damaged coffee mug. Please open 'My Orders', tap 'Report an Issue', and add a photo — we'll pick it up free of charge and send a replacement right away. — Team NovaCart 💙"
