"customer_query","support_response","category"
"How do I return a product?","Hi there! You can return any product within 7 days of delivery. Here's how:
1. Go to 'My Orders' → Select the order → Click 'Return'
2. Choose a reason and pickup slot
3. Our courier will collect it within 24-48 hours
4. Refund hits your account in 5-7 business days

Need more help? Just reply here.

— Team NovaCart 💙","returns"
"I want to return my recent order","Hi! Sorry to hear it didn't work out. To return:
1. Open 'My Orders' → tap the order → 'Return'
2. Pick a reason and slot for pickup
3. Free pickup within 24-48 hours
4. Refund in 5-7 business days after we receive it

Let me know if you need help.

— Team NovaCart 💙","returns"
"Can I return after 10 days?","Hi! I understand, but our return window is 7 days from delivery. After that, returns aren't possible per policy.

If the product has a manufacturing defect or is under warranty, please contact the manufacturer directly. I can help you find warranty info — share your order ID.

— Team NovaCart 💙","returns"
"My refund is still not credited","Hi! Sorry for the wait. Refunds typically take 5-7 business days:
1. Check 'My Orders' → order → 'Refund Status'
2. If 'Processed' but not received, share your order ID and I'll escalate to finance

— Team NovaCart 💙","returns"
"How long does refund take?","Hi! Refund timelines:
• Online payments: 5-7 business days to source account
• COD orders: 3-5 business days to your NovaCart wallet or bank
• UPI refunds: usually 24-48 hours

Track status in 'My Orders' → 'Refund Status'.

— Team NovaCart 💙","returns"
"Can I exchange instead of returning?","Hi! Yes, you can request an exchange for size or color:
1. Go to 'My Orders' → Select order → 'Exchange'
2. Pick the new size/color (subject to availability)
3. Free pickup of old item, new one ships in 3-5 days

Note: Exchange is only available within the 7-day return window.

— Team NovaCart 💙","returns"
"Refund amount is less than I paid","Hi! I'm sorry for the confusion. Refund deductions can happen due to:
• Used/damaged item (partial refund)
• COD handling charges (₹40 non-refundable)
• Express shipping (non-refundable on return)

Share your order ID and I'll get a detailed breakdown for you.

— Team NovaCart 💙","returns"
"Do you offer free returns?","Hi! Yes, returns are free across all of India. Our courier picks up the product from your doorstep at no cost. You only pay if the original order was Cash on Delivery (₹40 handling fee was already paid and is non-refundable).

— Team NovaCart 💙","returns"
"What if I lost the original packaging?","Hi! Original packaging is preferred but not always required. For most categories (apparel, accessories), any safe packaging works. For electronics, original box is needed for warranty validity.

Share your order ID and I'll confirm requirements for your item.

— Team NovaCart 💙","returns"
"I returned the item but no refund yet","Hi! Sorry for the delay. Here's what to check:
1. Order page → 'Return Status' — has it been 'Received & Verified'?
2. If yes, refund usually triggers within 24 hours
3. After triggering, money reflects in 5-7 business days

Share your order ID and I'll personally track it.

— Team NovaCart 💙","returns"
